[10000, 2]
0.000790001;  [0.879323, 0.476239, 0]; [-2.99212, 5.52491, 0];   [5.19544, 0.21761, 0]; [-0.115307, 2.75295, 0];   
0.000800001;  [0.876313, 0.481754, 0]; [-3.02677, 5.506, 0];   [5.19533, 0.220363, 0]; [-0.116766, 2.75288, 0];   
0.000810001;  [0.873269, 0.487251, 0]; [-3.06131, 5.48687, 0];   [5.19521, 0.223116, 0]; [-0.118224, 2.75282, 0];   
0.000820001;  [0.870191, 0.492728, 0]; [-3.09572, 5.46753, 0];   [5.19509, 0.225869, 0]; [-0.119683, 2.75276, 0];   
0.000830001;  [0.867078, 0.498186, 0]; [-3.13001, 5.44797, 0];   [5.19497, 0.228621, 0]; [-0.121142, 2.75269, 0];   
0.000840001;  [0.863931, 0.503624, 0]; [-3.16417, 5.42819, 0];   [5.19485, 0.231374, 0]; [-0.1226, 2.75263, 0];   
0.000850001;  [0.86075, 0.509042, 0]; [-3.19821, 5.4082, 0];   [5.19473, 0.234127, 0]; [-0.124059, 2.75256, 0];   
0.000860001;  [0.857534, 0.51444, 0]; [-3.23213, 5.388, 0];   [5.1946, 0.236879, 0]; [-0.125517, 2.7525, 0];   
0.000870001;  [0.854285, 0.519818, 0]; [-3.26592, 5.36759, 0];   [5.19448, 0.239632, 0]; [-0.126976, 2.75243, 0];   
0.000880001;  [0.851003, 0.525175, 0]; [-3.29958, 5.34696, 0];   [5.19435, 0.242384, 0]; [-0.128434, 2.75236, 0];   
0.000890001;  [0.847686, 0.530512, 0]; [-3.3331, 5.32612, 0];   [5.19422, 0.245136, 0]; [-0.129893, 2.7523, 0];   
0.000900001;  [0.844336, 0.535827, 0]; [-3.3665, 5.30507, 0];   [5.19409, 0.247889, 0]; [-0.131351, 2.75223, 0];   
0.000910001;  [0.840953, 0.541122, 0]; [-3.39976, 5.28381, 0];   [5.19396, 0.250641, 0]; [-0.132809, 2.75216, 0];   
0.000920001;  [0.837537, 0.546395, 0]; [-3.43289, 5.26235, 0];   [5.19382, 0.253393, 0]; [-0.134268, 2.75209, 0];   
0.000930001;  [0.834088, 0.551646, 0]; [-3.46589, 5.24067, 0];   [5.19369, 0.256145, 0]; [-0.135726, 2.75201, 0];   
0.000940001;  [0.830605, 0.556876, 0]; [-3.49874, 5.21879, 0];   [5.19355, 0.258897, 0]; [-0.137184, 2.75194, 0];   
0.000950001;  [0.82709, 0.562084, 0]; [-3.53146, 5.19671, 0];   [5.19341, 0.261649, 0]; [-0.138642, 2.75187, 0];   
0.000960001;  [0.823542, 0.567269, 0]; [-3.56404, 5.17441, 0];   [5.19327, 0.264401, 0]; [-0.1401, 2.75179, 0];   
0.000970001;  [0.819962, 0.572433, 0]; [-3.59648, 5.15192, 0];   [5.19313, 0.267152, 0]; [-0.141558, 2.75172, 0];   
0.000980001;  [0.816349, 0.577573, 0]; [-3.62878, 5.12922, 0];   [5.19299, 0.269904, 0]; [-0.143017, 2.75164, 0];   
0.000990001;  [0.812705, 0.582691, 0]; [-3.66093, 5.10631, 0];   [5.19285, 0.272656, 0]; [-0.144475, 2.75157, 0];   
0.001;  [0.809028, 0.587786, 0]; [-3.69294, 5.08321, 0];   [5.1927, 0.275407, 0]; [-0.145933, 2.75149, 0];   
0.00101;  [0.805319, 0.592857, 0]; [-3.7248, 5.05991, 0];   [5.19255, 0.278159, 0]; [-0.14739, 2.75141, 0];   
0.00102;  [0.801578, 0.597906, 0]; [-3.75652, 5.0364, 0];   [5.19241, 0.28091, 0]; [-0.148848, 2.75134, 0];   
0.00103;  [0.797806, 0.60293, 0]; [-3.78809, 5.0127, 0];   [5.19226, 0.283661, 0]; [-0.150306, 2.75126, 0];   
0.00104;  [0.794002, 0.607931, 0]; [-3.81951, 4.9888, 0];   [5.19211, 0.286413, 0]; [-0.151764, 2.75118, 0];   
0.00105;  [0.790167, 0.612908, 0]; [-3.85077, 4.9647, 0];   [5.19195, 0.289164, 0]; [-0.153222, 2.7511, 0];   
0.00106;  [0.7863, 0.61786, 0]; [-3.88189, 4.94041, 0];   [5.1918, 0.291915, 0]; [-0.15468, 2.75101, 0];   
0.00107;  [0.782403, 0.622788, 0]; [-3.91285, 4.91592, 0];   [5.19164, 0.294666, 0]; [-0.156137, 2.75093, 0];   
0.00108;  [0.778475, 0.627692, 0]; [-3.94366, 4.89123, 0];   [5.19149, 0.297417, 0]; [-0.157595, 2.75085, 0];   
0.00109;  [0.774516, 0.632571, 0]; [-3.97431, 4.86636, 0];   [5.19133, 0.300167, 0]; [-0.159052, 2.75076, 0];   
0.0011;  [0.770526, 0.637425, 0]; [-4.00481, 4.84129, 0];   [5.19117, 0.302918, 0]; [-0.16051, 2.75068, 0];   
0.00111;  [0.766506, 0.642253, 0]; [-4.03514, 4.81603, 0];   [5.19101, 0.305669, 0]; [-0.161968, 2.75059, 0];   
0.00112;  [0.762456, 0.647057, 0]; [-4.06532, 4.79058, 0];   [5.19085, 0.308419, 0]; [-0.163425, 2.75051, 0];   
0.00113;  [0.758376, 0.651835, 0]; [-4.09534, 4.76494, 0];   [5.19068, 0.31117, 0]; [-0.164882, 2.75042, 0];   
0.00114;  [0.754265, 0.656587, 0]; [-4.1252, 4.73912, 0];   [5.19052, 0.31392, 0]; [-0.16634, 2.75033, 0];   
0.00115;  [0.750125, 0.661313, 0]; [-4.15489, 4.7131, 0];   [5.19035, 0.316671, 0]; [-0.167797, 2.75025, 0];   
0.00116;  [0.745956, 0.666013, 0]; [-4.18442, 4.6869, 0];   [5.19018, 0.319421, 0]; [-0.169254, 2.75016, 0];   
0.00117;  [0.741756, 0.670686, 0]; [-4.21378, 4.66052, 0];   [5.19001, 0.322171, 0]; [-0.170712, 2.75007, 0];   
0.00118;  [0.737528, 0.675334, 0]; [-4.24298, 4.63395, 0];   [5.18984, 0.324921, 0]; [-0.172169, 2.74997, 0];   
0.00119;  [0.733271, 0.679954, 0]; [-4.27201, 4.6072, 0];   [5.18967, 0.327671, 0]; [-0.173626, 2.74988, 0];   
0.0012;  [0.728984, 0.684548, 0]; [-4.30087, 4.58026, 0];   [5.18949, 0.330421, 0]; [-0.175083, 2.74979, 0];   
0.00121;  [0.724669, 0.689115, 0]; [-4.32956, 4.55315, 0];   [5.18932, 0.33317, 0]; [-0.17654, 2.7497, 0];   
0.00122;  [0.720325, 0.693654, 0]; [-4.35808, 4.52586, 0];   [5.18914, 0.33592, 0]; [-0.177997, 2.7496, 0];   
0.00123;  [0.715953, 0.698166, 0]; [-4.38643, 4.49838, 0];   [5.18896, 0.33867, 0]; [-0.179454, 2.74951, 0];   
0.00124;  [0.711552, 0.702651, 0]; [-4.4146, 4.47073, 0];   [5.18878, 0.341419, 0]; [-0.180911, 2.74941, 0];   
0.00125;  [0.707124, 0.707108, 0]; [-4.4426, 4.44291, 0];   [5.1886, 0.344168, 0]; [-0.182368, 2.74932, 0];   
0.00126;  [0.702667, 0.711537, 0]; [-4.47043, 4.4149, 0];   [5.18841, 0.346918, 0]; [-0.183824, 2.74922, 0];   
0.00127;  [0.698183, 0.715938, 0]; [-4.49808, 4.38673, 0];   [5.18823, 0.349667, 0]; [-0.185281, 2.74912, 0];   
0.00128;  [0.693671, 0.72031, 0]; [-4.52555, 4.35838, 0];   [5.18804, 0.352416, 0]; [-0.186738, 2.74902, 0];   
0.00129;  [0.689132, 0.724654, 0]; [-4.55284, 4.32986, 0];   [5.18786, 0.355165, 0]; [-0.188194, 2.74892, 0];   
